,Object,Type,X,Y,height,width
0,1,duke222,1278.2356979405035,711.2974828375287,2294,2640
1,1,duke222,514.4439359267735,1044.6361556064076,2294,2640
2,1,duke222,1459.3409610983983,1643.070938215103,2294,2640
3,1,duke222,1855.6727688787187,745.4187643020596,2294,2640
4,2,duke222,863.8458581235699,1575.2483295194509,2294,2640
5,2,duke222,1289.4169794050345,1121.0940732265447,2294,2640
6,2,duke222,1854.727871853547,1441.8603661327231,2294,2640
7,2,duke222,1549.8410983981694,1772.1543707093822,2294,2640
8,3,duke222,803.5036842105263,2061.161624713959,2294,2640
9,3,duke222,514.4964302059497,876.5494736842106,2294,2640
10,3,duke222,962.2988787185355,1302.120594965675,2294,2640
